date,amount,category,description
2026-01-01,362,Food,Aymu Pizza
2026-01-05,450,Transport,Uber Ride
2026-01-08,800,Petrol,Indian Oil
2026-01-12,299,Shopping,Amazon Order
2026-01-15,120,Food,Burger Hub
2026-01-20,950,Petrol,HP Fuel
2026-01-24,780,Shopping,Flipkart Purchase
2026-01-28,180,Food,Cafe Mocha
2026-02-02,420,Food,Aymu Pizza
2026-02-04,250,Transport,Ola Trip
2026-02-06,650,Petrol,Bharat Petroleum
2026-02-09,999,Shopping,Flipkart Purchase
2026-02-11,90,Food,Tea Stall
2026-02-14,350,Transport,Bus Ticket
2026-02-18,700,Shopping,Local Market
2026-02-25,550,Petrol,Indian Oil
2026-03-01,275,Food,Aymu Cola
2026-03-03,320,Transport,Uber Ride
2026-03-05,850,Shopping,Amazon Order
2026-03-08,500,Petrol,HP Fuel
2026-03-10,140,Food,Cafe Mocha
2026-03-13,200,Transport,Auto Rickshaw
2026-03-17,620,Shopping,Local Market
2026-03-22,750,Petrol,Bharat Petroleum
2026-04-02,310,Food,Burger Hub
2026-04-04,450,Transport,Ola Trip
2026-04-07,920,Petrol,Indian Oil
2026-04-10,400,Shopping,Amazon Order
2026-04-14,60,Food,Tea Stall
2026-04-18,170,Transport,Bus Ticket
2026-04-21,780,Shopping,Flipkart Purchase
2026-04-27,880,Petrol,HP Fuel
2026-05-01,390,Food,Aymu Pizza
2026-05-04,210,Transport,Auto Rickshaw
2026-05-08,670,Petrol,Bharat Petroleum
2026-05-11,550,Shopping,Local Market
2026-05-15,150,Food,Cafe Mocha
2026-05-18,340,Transport,Uber Ride
2026-05-22,990,Shopping,Amazon Order
2026-05-29,720,Petrol,Indian Oil
2026-06-03,430,Food,Burger Hub
2026-06-05,280,Transport,Ola Trip
2026-06-09,860,Petrol,HP Fuel
2026-06-12,620,Shopping,Flipkart Purchase
2026-06-16,75,Food,Tea Stall
2026-06-20,390,Transport,Bus Ticket
2026-06-24,810,Shopping,Amazon Order
2026-06-28,930,Petrol,Bharat Petroleum
2026-07-02,510,Food,Aymu Cola
2026-07-06,260,Transport,Auto Rickshaw
2026-07-09,790,Petrol,Indian Oil
2026-07-12,450,Shopping,Local Market
2026-07-16,220,Food,Cafe Mocha
2026-07-19,330,Transport,Uber Ride
2026-07-23,870,Shopping,Flipkart Purchase
2026-07-27,980,Petrol,HP Fuel
2026-08-03,410,Food,Aymu Pizza
2026-08-08,300,Transport,Ola Trip
2026-08-15,760,Shopping,Amazon Order
2026-08-22,890,Petrol,Bharat Petroleum
